rule,kept_openalex_id,kept_title,merged_openalex_id,merged_title,source_keyword,source_run_id,merged_at
same_openalex_id,https://openalex.org/W3017279354,Painting a portrait of the Galactic disc with its stellar clusters,https://openalex.org/W3017279354,Painting a portrait of the Galactic disc with its stellar clusters,"['machine learning stellar spectra', 'deep learning stellar spectroscopy']","['run001_ml_stellar_spectra', 'run001_ml_stellar_spectra']",2026-07-30T05:01:12+00:00
same_openalex_id,https://openalex.org/W2900811782,Accuracy and Precision of Industrial Stellar Abundances,https://openalex.org/W2900811782,Accuracy and Precision of Industrial Stellar Abundances,"['machine learning stellar spectra', 'deep learning stellar spectroscopy']","['run001_ml_stellar_spectra', 'run001_ml_stellar_spectra']",2026-07-30T05:01:12+00:00
same_openalex_id,https://openalex.org/W2905331806,"The Fifteenth Data Release of the Sloan Digital Sky Surveys: First Release of MaNGA-derived Quantities, Data Visualization Tools, and Stellar Library",https://openalex.org/W2905331806,"The Fifteenth Data Release of the Sloan Digital Sky Surveys: First Release of MaNGA-derived Quantities, Data Visualization Tools, and Stellar Library","['machine learning stellar spectra', 'deep learning stellar spectroscopy']","['run001_ml_stellar_spectra', 'run001_ml_stellar_spectra']",2026-07-30T05:01:12+00:00
same_openalex_id,https://openalex.org/W2999093079,SPCANet: Stellar Parameters and Chemical Abundances Network for LAMOST-II Medium Resolution Survey,https://openalex.org/W2999093079,SPCANet: Stellar Parameters and Chemical Abundances Network for LAMOST-II Medium Resolution Survey,"['machine learning stellar spectra', 'deep learning stellar spectroscopy']","['run001_ml_stellar_spectra', 'run001_ml_stellar_spectra']",2026-07-30T05:01:12+00:00
same_openalex_id,https://openalex.org/W2987499710,Application of convolutional neural networks for stellar spectral classification,https://openalex.org/W2987499710,Application of convolutional neural networks for stellar spectral classification,"['machine learning stellar spectra', 'deep learning stellar spectroscopy']","['run001_ml_stellar_spectra', 'run001_ml_stellar_spectra']",2026-07-30T05:01:12+00:00
same_openalex_id,https://openalex.org/W2006997511,Automatic stellar spectra parameterisation in the IR Ca ii triplet region,https://openalex.org/W2006997511,Automatic stellar spectra parameterisation in the IR Ca ii triplet region,"['machine learning stellar spectra', 'deep learning stellar spectroscopy']","['run001_ml_stellar_spectra', 'run001_ml_stellar_spectra']",2026-07-30T05:01:12+00:00
same_openalex_id,https://openalex.org/W2006224949,Prevalence of Earth-size planets orbiting Sun-like stars,https://openalex.org/W2006224949,Prevalence of Earth-size planets orbiting Sun-like stars,"['machine learning stellar spectra', 'deep learning stellar spectroscopy']","['run001_ml_stellar_spectra', 'run001_ml_stellar_spectra']",2026-07-30T05:01:12+00:00
same_openalex_id,https://openalex.org/W2772961215,Inferring the star formation histories of massive quiescent galaxies with bagpipes: evidence for multiple quenching mechanisms,https://openalex.org/W2772961215,Inferring the star formation histories of massive quiescent galaxies with bagpipes: evidence for multiple quenching mechanisms,"['machine learning stellar spectra', 'deep learning stellar spectroscopy']","['run001_ml_stellar_spectra', 'run001_ml_stellar_spectra']",2026-07-30T05:01:12+00:00
same_openalex_id,https://openalex.org/W4384201335,Machine learning in solar physics,https://openalex.org/W4384201335,Machine learning in solar physics,"['machine learning stellar spectra', 'deep learning stellar spectroscopy']","['run001_ml_stellar_spectra', 'run001_ml_stellar_spectra']",2026-07-30T05:01:12+00:00
same_openalex_id,https://openalex.org/W4363678967,A Novel Approach Utilizing Machine Learning for the Early Diagnosis of Alzheimer's Disease,https://openalex.org/W4363678967,A Novel Approach Utilizing Machine Learning for the Early Diagnosis of Alzheimer's Disease,"['machine learning stellar spectra', 'deep learning stellar spectroscopy']","['run001_ml_stellar_spectra', 'run001_ml_stellar_spectra']",2026-07-30T05:01:12+00:00
same_openalex_id,https://openalex.org/W4306248068,"Machine learning in electron microscopy for advanced nanocharacterization: current developments, available tools and future outlook",https://openalex.org/W4306248068,"Machine learning in electron microscopy for advanced nanocharacterization: current developments, available tools and future outlook","['machine learning stellar spectra', 'deep learning stellar spectroscopy']","['run001_ml_stellar_spectra', 'run001_ml_stellar_spectra']",2026-07-30T05:01:12+00:00
